ns3:row,ID,Gruppo,DataOraIncidente,Localizzazione1,Localizzazione2,IDStrada01,Strada1,Chilometrica,NaturaIncidente,ParticolaritaStrade,TipoStrada,FondoStradale,Pavimentazione,Segnaletica,CondizioneAtmosferica,Traffico,Visibilita,NUM_FERITI,NUM_RISERVATA,NUM_MORTI,NUM_ILLESI,Longitudine,Latitudine,CONFERMATO,IDStrada02,Strada2,DaSpecificare
,5795785,6,2022-01-26T15:00:00,Strada Urbana,in corrispondenza,9543,VIA ROVIGNO D'ISTRIA,77,Veicolo in marcia contro veicoli in sosta,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Assente,Sereno,Scarso,Buona,0,0,0,1,12.55613,41.899039999999999,True,,,
,5796266,5,2022-01-26T15:00:00,Strada Urbana,in prossimità,9629,VIA DI SALONE,129,Scontro laterale fra veicoli in marcia,Curva senza visuale libera,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,0,0,0,3,12.6281,41.934640000000002,True,,,
,5795900,12,2022-01-26T15:20:00,Strada Urbana,da specificare,3216,VIA CRISTOFORO COLOMBO,,Tamponamento Multiplo,Rettilineo,Più di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,2,0,0,4,12.49461,41.857059999999997,True,,,lat. direzione Roma centro prox viadotto magliana
,5795748,10,2022-01-26T15:22:00,Strada Urbana,all'intersezione con,653,VIALE ANICIO GALLO,,Investimento di pedone,Incrocio,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Buona,1,0,0,0,12.565189999999999,41.85154,True,10508,VIALE TITO LABIENO,
,5796778,12,2022-01-26T15:30:00,Strada Urbana,da specificare,8887,VIA PONTINA,,Veicolo in marcia che urta buche nella carreggiata,Curva a visuale libera,Una carreggiata a senso unico di marcia,Asciutto,Con buche,Verticale ed orizzontale,Nuvoloso,Normale,Buona,0,0,0,1,12.45219,41.79401,True,,,sv.lat. Pont. dir Tor de Cenci/vle E.di Cefalonia
,5797012,1,2022-01-26T16:00:00,Strada Urbana,in prossimità,8899,PIAZZA DEL POPOLO,17,Veicolo in marcia contro ostacolo fisso,Curva a visuale libera,Una carreggiata a senso unico di marcia,Asciutto,In cubetti di porfido,Verticale ed orizzontale,Sereno,Normale,,0,0,0,0,,,False,,,
,5796271,15,2022-01-26T16:00:00,Strada Urbana,in prossimità,15563,VIA LORENZO ALLIEVI,18,Veicolo in marcia contro veicolo in sosta,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale,Sereno,Normale,Buona,0,0,0,2,12.34539,41.81673,True,,,
,5796528,17,2022-01-26T16:10:00,Strada Urbana,in prossimità,7626,VIA MUGGIA,41,Scontro frontale/laterale DX fra veicoli in marcia,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Orizzontale,Sereno,Scarso,Buona,0,0,0,2,12.45712,41.918320000000001,True,,,
,5795911,1,2022-01-26T16:20:00,Strada Urbana,all'intersezione con,1582,VIA BONCOMPAGNI,,Scontro laterale fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Nuvoloso,Normale,Buona,0,0,0,2,12.494540000000001,41.90869,True,9479,VIA ROMAGNA,
,5796183,13,2022-01-26T16:30:00,,all'intersezione con,8998,VIALE PRASSILLA,,Scontro laterale fra veicoli in marcia,,,,,,,,,0,0,0,3,12.357139999999999,41.752310000000001,False,2762,VIA CHILONE,
,5796759,12,2022-01-26T16:30:00,Strada Urbana,in prossimità,3529,VIALE EGEO,102,Tamponamento Multiplo,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,0,0,0,4,12.45702,41.832479999999997,True,,,
,5796194,18,2022-01-26T16:30:00,Strada Urbana,in prossimità,1192,CIRCONVALLAZIONE AURELIA,79,Scontro laterale fra veicoli in marcia,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,0,0,0,2,12.42901,41.896419999999999,True,,,
,5796330,19,2022-01-26T16:50:00,Strada Urbana,all'intersezione con,1283,VIA DELLA BALDUINA,,Scontro laterale fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Buona,0,0,0,3,12.44035,41.920670000000001,True,1133,VIA ATTILIO FRIGGERI,
,5796259,7,2022-01-26T17:20:00,Strada Urbana,in corrispondenza,2936,VIA COLLATINA,406,Scontro frontale/laterale DX fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Buona,1,0,0,1,12.605790000000001,41.904800000000002,True,,,
,5795898,1,2022-01-26T17:30:00,Strada Urbana,all'intersezione con,6825,PIAZZA DI S. MARCO,,Scontro frontale/laterale SX fra veicoli in marcia,Incrocio,Una carreggiata a doppio senso,Asciutto,In cubetti di porfido,Verticale ed orizzontale,Sereno,Normale,Buona,1,0,0,2,12.48185,41.895310000000002,True,11149,PIAZZA VENEZIA,
,5796077,8,2022-01-26T18:00:00,Strada Urbana,all'intersezione con,4648,VIA DEL FUOCO SACRO,,Scontro frontale fra veicoli in marcia,Intersezione stradale segnalata,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,0,0,0,2,12.64114,41.864800000000002,True,13712,VIA DI TOR BELLA MONACA,
,5796721,4,2022-01-26T18:00:00,Strada Urbana,in corrispondenza,6068,VIALE JONIO,279,Scontro frontale/laterale DX fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,0,0,0,3,12.53196,41.94538,False,,,
,5796068,8,2022-01-26T18:15:00,Strada Urbana,in prossimità,2403,VIA CASILINA,2087,Scontro laterale fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Orizzontale,Sereno,Normale,Sufficiente,0,0,0,4,12.693250000000001,41.86401,True,,,
,5796261,9,2022-01-26T18:30:00,Strada Urbana,in prossimità,9887,VIA SEGESTA,9,Veicolo in marcia contro veicoli in sosta,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,0,0,0,1,12.5098,41.873139999999999,True,,,
,5795867,11,2022-01-26T18:40:00,Strada Urbana,all'intersezione con,5835,VIALE GUGLIELMO MARCONI,,Scontro laterale fra veicoli in marcia,Incrocio,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Nuvoloso,Normale,Sufficiente,0,0,0,3,12.47133,41.857289999999999,True,14362,LARGO MAESTRI DEL LAVORO,
