id,tipologia,denominazione,via,civico,latitude,longitude,stelle,categoria,totalePostiLetto,totaleNumeroCamere,numeroSingole,numeroDoppie,numeroTriple,numeroQuadruple,numeroBagni
394757,Guest House o Affittacamere,ALISSA SUITE DREAM GUEST HOUSE O AFFITTACAMERE,Via Graziano,15,41.8990679,12.4302459,,2.0,6.0,3.0,,3.0,,,
400159,Guest House o Affittacamere,ALL IN ROME ETRURIA GUEST HOUSE O AFFITTACAMERE,Via Etruria,12,41.8789139,12.5136807,,2.0,4.0,2.0,,2.0,,,
400457,Guest House o Affittacamere,ALL IN ROME RE DI ROMA GUEST HOUSE O AFFITTACAMERE,Via Pomezia,8,41.879879,12.5116541,,2.0,6.0,3.0,,3.0,,,
396582,Guest House o Affittacamere,ALL INN ROME UMBERTO Guest House o Affittacamere,Via Principe Umberto,37,41.8948175,12.5088033,,2.0,6.0,3.0,,3.0,,,
397581,Guest House o Affittacamere,All'obelisco Guest House o Affittacamere,Via Gregoriana,25,41.9055916,12.4837353,,2.0,5.0,3.0,1.0,2.0,,,
395206,Guest House o Affittacamere,ALL'OMBRA DEL CUPOLONE DI WALTER FIORUCCI GUEST HOUSE,Viale delle Mura Aurelie,19,41.8996649,12.4568221,,3.0,6.0,3.0,,3.0,,,
395717,Guest House o Affittacamere,ALL'OROLOGIO GUEST HOUSE,Via dei Banchi Nuovi,47,41.8993944,12.4676487,,3.0,8.0,4.0,,4.0,,,
397445,Guest House o Affittacamere,ALL SEASONS,Viale Manzoni,81,41.8935159,12.5103049,,2.0,8.0,4.0,,4.0,,,
396542,Guest House o Affittacamere,ALLA BASILICA ROOMS guest house o affittacamere,Viale Carlo Felice,77,41.8874602,12.5113968,,3.0,4.0,2.0,,2.0,,,
395563,Guest House o Affittacamere,ALLA ROMA DEI PAPI,Piazza Adriana,5,41.9048344,12.4679969,,1.0,10.0,6.0,2.0,4.0,,,
398047,Guest House o Affittacamere,ALLEGRA'S HOUSE ,Via Vespasiano,12,41.9068775,12.4565746,,3.0,8.0,3.0,,2.0,,1.0,
397849,Guest House o Affittacamere,ALLEGRA'S HOUSE CARACCIOLO,Via Francesco Caracciolo,4,41.9082,12.4501052,,3.0,8.0,4.0,,4.0,,,
396433,Guest House o Affittacamere,ALLEGRA'S SUITES ROME GUEST HOUSE O AFFITTACAMERE,Via degli Scipioni,147,41.9092166,12.4601452,,3.0,7.0,3.0,,2.0,1.0,,
